"","variable_num","variable","numbers","full_variable"
"99",150,"intent_two_weeks_no_intention","0.60000000","% reporting that they have no intentions to move further"
"100",151,"intent_two_weeks_other",NA,"% reporting that they will stary somewhere else"
"101",152,"intent_return_yes","0.01111111","% yes"
"102",153,"intent_return_no","0.98888889","% no"
"103",NA,"difficulties.dont_know","0","Location of Interview"
"104",NA,"difficulties.dont_know","0","Do you or others in your group have residency documents in the Kurdistan Region of Iraq or other KRI identification papers?"
"105",NA,"difficulties.dont_know","0","Travel across the border"
"106",NA,"difficulties.dont_know","0","If there are unaccompanied or separated children in the travel group, how many?"
"107",NA,"difficulties.dont_know","0","Proportion of Kis reporting each intention for their travel group in the next two days"
"108",NA,"difficulties.dont_know","0","Did the travel group arrive at the Reception Centre (RC) from Syria?"
"109",NA,"difficulties.dont_know","0","Questionnaire"
"110",NA,"difficulties.dont_know","0","Proportion of Kis reporting that travel group members left family members behind"
"111",NA,"difficulties.dont_know","0","Proportion of Kis reporting pregnant or lactating women in the travel group"
"112",NA,"difficulties.dont_know","0","Intentions in the next two days"
"113",NA,"difficulties.dont_know","0","If there are pregnant or lactating women in the travel group, how many?"
"114",NA,"difficulties.dont_know","0","If there are physically disabled people in the travel group, how many?"
"115",NA,"difficulties.dont_know","0","Proportion of Kis reporting that members of the travel group were already living in displacement"
"116",NA,"difficulties.dont_know","0","Key Informant (KI) Demographics"
"117",NA,"difficulties.dont_know","0",NA
"118",NA,"difficulties.dont_know","0","Proportion of Kis reporting each length of waiting time at the reception centre before processing"
"119",NA,"difficulties.dont_know","0","Gender of KI"
"120",NA,"difficulties.dont_know","0","Proportion of Kis reporting that the travel group experience the following difficulties during displacement"
"121",NA,"difficulties.dont_know","0","When did travel groups leave the location from which they travelled?"
"122",NA,"difficulties.dont_know","0","Proportion of Kis reporting that members of their travel group will return to Syria in the coming two weeks"
"123",NA,"difficulties.dont_know","0","Proportion of Kis reporting physically disabled people in the travel group"
"124",NA,"difficulties.dont_know","0","Proportion of Kis reporting each intention for their travel group in the next two weeks"
"125",NA,"difficulties.dont_know","0","How many people are in travel groups?"
"126",NA,"difficulties.dont_know","0","Proportion of Kis reporting each length of waiting time at the border (Syrian side)"
"127",NA,"difficulties.dont_know","0","Proportion of Kis reporting each reason as the main reason for each travel groups' intentions in the next two days"
"128",NA,"difficulties.dont_know","0","FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"129",NA,"difficulties.dont_know","0","Location and time of displacement"
"130",NA,"difficulties.dont_know","0","Proportion of Kis reporting unaccompanied or separated children in the travel group"
"131",NA,"difficulties.dont_know","0","Proportion of Kis reporting that travel groups travelled from key governorates in Syria"
"132",NA,"difficulties.dont_know","0","Issues encountered during displacement"
"133",NA,"difficulties.dont_know","0","Proportion of Kis reporting each item as a top priority need for the travel group in the next 24 hours"
"134",NA,"difficulties.dont_know","0","FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"135",NA,"difficulties.dont_know","0","Proportion of Kis reporting each mode of transport as the primary mode used to reach the border by the travel group"
"136",NA,"difficulties.dont_know","0","Priority needs"
"137",NA,"difficulties.dont_know","0","Intentions in the next two weeks"
"138",NA,"difficulties.dont_know","0","Proportion of Kis reporting that the travel group were able to bring the following items with them when they displaced"
"139",NA,"difficulties.dont_know","0","Proportion of Kis reporting each reason for which the travel group decided to displace to the border"
"140",NA,"difficulties.dont_know","0","Proportion of Kis reporting each length of waiting time for registration within the reception centre"
"141",NA,"difficulties.dont_know","0","What is the main reason Kis reported for travel groups leaving their location of residence?  "
"142",NA,"difficulties.dont_know","0","Displacement routes"
"143",NA,"difficulties.dont_know","0","Proportion of Kis reporting each time period between which the travel group made their decision to leave and departure"
"144",NA,"difficulties.dont_know","0","Proportion of Kis reporting that members of their travel group have friends or family in Dohuk, but do not intent to stay with them"
"145",NA,"difficulties.dont_know","0","Travel group composition"
"146",NA,"difficulties.dont_know","0","Number of people in travel groups without identification papers (e.g. civil ID, passport)?"
"147",NA,"governorate_origin_aleppo","0.10000000","Location of Interview"
"148",NA,"governorate_origin_aleppo","0.10000000","Do you or others in your group have residency documents in the Kurdistan Region of Iraq or other KRI identification papers?"
"149",NA,"governorate_origin_aleppo","0.10000000","Travel across the border"
"150",NA,"governorate_origin_aleppo","0.10000000","If there are unaccompanied or separated children in the travel group, how many?"
"151",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each intention for their travel group in the next two days"
"152",NA,"governorate_origin_aleppo","0.10000000","Did the travel group arrive at the Reception Centre (RC) from Syria?"
"153",NA,"governorate_origin_aleppo","0.10000000","Questionnaire"
"154",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting that travel group members left family members behind"
"155",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting pregnant or lactating women in the travel group"
"156",NA,"governorate_origin_aleppo","0.10000000","Intentions in the next two days"
"157",NA,"governorate_origin_aleppo","0.10000000","If there are pregnant or lactating women in the travel group, how many?"
"158",NA,"governorate_origin_aleppo","0.10000000","If there are physically disabled people in the travel group, how many?"
"159",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting that members of the travel group were already living in displacement"
"160",NA,"governorate_origin_aleppo","0.10000000","Key Informant (KI) Demographics"
"161",NA,"governorate_origin_aleppo","0.10000000",NA
"162",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each length of waiting time at the reception centre before processing"
"163",NA,"governorate_origin_aleppo","0.10000000","Gender of KI"
"164",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting that the travel group experience the following difficulties during displacement"
"165",NA,"governorate_origin_aleppo","0.10000000","When did travel groups leave the location from which they travelled?"
"166",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting that members of their travel group will return to Syria in the coming two weeks"
"167",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting physically disabled people in the travel group"
"168",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each intention for their travel group in the next two weeks"
"169",NA,"governorate_origin_aleppo","0.10000000","How many people are in travel groups?"
"170",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each length of waiting time at the border (Syrian side)"
"171",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each reason as the main reason for each travel groups' intentions in the next two days"
"172",NA,"governorate_origin_aleppo","0.10000000","FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"173",NA,"governorate_origin_aleppo","0.10000000","Location and time of displacement"
"174",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting unaccompanied or separated children in the travel group"
"175",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting that travel groups travelled from key governorates in Syria"
"176",NA,"governorate_origin_aleppo","0.10000000","Issues encountered during displacement"
"177",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each item as a top priority need for the travel group in the next 24 hours"
"178",NA,"governorate_origin_aleppo","0.10000000","FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"179",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each mode of transport as the primary mode used to reach the border by the travel group"
"180",NA,"governorate_origin_aleppo","0.10000000","Priority needs"
"181",NA,"governorate_origin_aleppo","0.10000000","Intentions in the next two weeks"
"182",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting that the travel group were able to bring the following items with them when they displaced"
"183",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each reason for which the travel group decided to displace to the border"
"184",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each length of waiting time for registration within the reception centre"
"185",NA,"governorate_origin_aleppo","0.10000000","What is the main reason Kis reported for travel groups leaving their location of residence?  "
"186",NA,"governorate_origin_aleppo","0.10000000","Displacement routes"
"187",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting each time period between which the travel group made their decision to leave and departure"
"188",NA,"governorate_origin_aleppo","0.10000000","Proportion of Kis reporting that members of their travel group have friends or family in Dohuk, but do not intent to stay with them"
"189",NA,"governorate_origin_aleppo","0.10000000","Travel group composition"
"190",NA,"governorate_origin_aleppo","0.10000000","Number of people in travel groups without identification papers (e.g. civil ID, passport)?"
"191",NA,"difficulties.no_money","0.1222222","Location of Interview"
"192",NA,"difficulties.no_money","0.1222222","Do you or others in your group have residency documents in the Kurdistan Region of Iraq or other KRI identification papers?"
"193",NA,"difficulties.no_money","0.1222222","Travel across the border"
"194",NA,"difficulties.no_money","0.1222222","If there are unaccompanied or separated children in the travel group, how many?"
"195",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each intention for their travel group in the next two days"
"196",NA,"difficulties.no_money","0.1222222","Did the travel group arrive at the Reception Centre (RC) from Syria?"
"197",NA,"difficulties.no_money","0.1222222","Questionnaire"
"198",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting that travel group members left family members behind"
"199",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting pregnant or lactating women in the travel group"
"200",NA,"difficulties.no_money","0.1222222","Intentions in the next two days"
"201",NA,"difficulties.no_money","0.1222222","If there are pregnant or lactating women in the travel group, how many?"
"202",NA,"difficulties.no_money","0.1222222","If there are physically disabled people in the travel group, how many?"
"203",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting that members of the travel group were already living in displacement"
"204",NA,"difficulties.no_money","0.1222222","Key Informant (KI) Demographics"
"205",NA,"difficulties.no_money","0.1222222",NA
"206",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each length of waiting time at the reception centre before processing"
"207",NA,"difficulties.no_money","0.1222222","Gender of KI"
"208",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting that the travel group experience the following difficulties during displacement"
"209",NA,"difficulties.no_money","0.1222222","When did travel groups leave the location from which they travelled?"
"210",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting that members of their travel group will return to Syria in the coming two weeks"
"211",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting physically disabled people in the travel group"
"212",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each intention for their travel group in the next two weeks"
"213",NA,"difficulties.no_money","0.1222222","How many people are in travel groups?"
"214",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each length of waiting time at the border (Syrian side)"
"215",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each reason as the main reason for each travel groups' intentions in the next two days"
"216",NA,"difficulties.no_money","0.1222222","FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"217",NA,"difficulties.no_money","0.1222222","Location and time of displacement"
"218",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting unaccompanied or separated children in the travel group"
"219",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting that travel groups travelled from key governorates in Syria"
"220",NA,"difficulties.no_money","0.1222222","Issues encountered during displacement"
"221",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each item as a top priority need for the travel group in the next 24 hours"
"222",NA,"difficulties.no_money","0.1222222","FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"223",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each mode of transport as the primary mode used to reach the border by the travel group"
"224",NA,"difficulties.no_money","0.1222222","Priority needs"
"225",NA,"difficulties.no_money","0.1222222","Intentions in the next two weeks"
"226",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting that the travel group were able to bring the following items with them when they displaced"
"227",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each reason for which the travel group decided to displace to the border"
"228",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each length of waiting time for registration within the reception centre"
"229",NA,"difficulties.no_money","0.1222222","What is the main reason Kis reported for travel groups leaving their location of residence?  "
"230",NA,"difficulties.no_money","0.1222222","Displacement routes"
"231",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting each time period between which the travel group made their decision to leave and departure"
"232",NA,"difficulties.no_money","0.1222222","Proportion of Kis reporting that members of their travel group have friends or family in Dohuk, but do not intent to stay with them"
"233",NA,"difficulties.no_money","0.1222222","Travel group composition"
"234",NA,"difficulties.no_money","0.1222222","Number of people in travel groups without identification papers (e.g. civil ID, passport)?"
"235",NA,"group_size","9.955556","Location of Interview"
"236",NA,"group_size","9.955556","Do you or others in your group have residency documents in the Kurdistan Region of Iraq or other KRI identification papers?"
"237",NA,"group_size","9.955556","Travel across the border"
"238",NA,"group_size","9.955556","If there are unaccompanied or separated children in the travel group, how many?"
"239",NA,"group_size","9.955556","Proportion of Kis reporting each intention for their travel group in the next two days"
"240",NA,"group_size","9.955556","Did the travel group arrive at the Reception Centre (RC) from Syria?"
"241",NA,"group_size","9.955556","Questionnaire"
"242",NA,"group_size","9.955556","Proportion of Kis reporting that travel group members left family members behind"
"243",NA,"group_size","9.955556","Proportion of Kis reporting pregnant or lactating women in the travel group"
"244",NA,"group_size","9.955556","Intentions in the next two days"
"245",NA,"group_size","9.955556","If there are pregnant or lactating women in the travel group, how many?"
"246",NA,"group_size","9.955556","If there are physically disabled people in the travel group, how many?"
"247",NA,"group_size","9.955556","Proportion of Kis reporting that members of the travel group were already living in displacement"
"248",NA,"group_size","9.955556","Key Informant (KI) Demographics"
"249",NA,"group_size","9.955556",NA
"250",NA,"group_size","9.955556","Proportion of Kis reporting each length of waiting time at the reception centre before processing"
"251",NA,"group_size","9.955556","Gender of KI"
"252",NA,"group_size","9.955556","Proportion of Kis reporting that the travel group experience the following difficulties during displacement"
"253",NA,"group_size","9.955556","When did travel groups leave the location from which they travelled?"
"254",NA,"group_size","9.955556","Proportion of Kis reporting that members of their travel group will return to Syria in the coming two weeks"
"255",NA,"group_size","9.955556","Proportion of Kis reporting physically disabled people in the travel group"
"256",NA,"group_size","9.955556","Proportion of Kis reporting each intention for their travel group in the next two weeks"
"257",NA,"group_size","9.955556","How many people are in travel groups?"
"258",NA,"group_size","9.955556","Proportion of Kis reporting each length of waiting time at the border (Syrian side)"
"259",NA,"group_size","9.955556","Proportion of Kis reporting each reason as the main reason for each travel groups' intentions in the next two days"
"260",NA,"group_size","9.955556","FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"261",NA,"group_size","9.955556","Location and time of displacement"
"262",NA,"group_size","9.955556","Proportion of Kis reporting unaccompanied or separated children in the travel group"
"263",NA,"group_size","9.955556","Proportion of Kis reporting that travel groups travelled from key governorates in Syria"
"264",NA,"group_size","9.955556","Issues encountered during displacement"
"265",NA,"group_size","9.955556","Proportion of Kis reporting each item as a top priority need for the travel group in the next 24 hours"
"266",NA,"group_size","9.955556","FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"267",NA,"group_size","9.955556","Proportion of Kis reporting each mode of transport as the primary mode used to reach the border by the travel group"
"268",NA,"group_size","9.955556","Priority needs"
"269",NA,"group_size","9.955556","Intentions in the next two weeks"
"270",NA,"group_size","9.955556","Proportion of Kis reporting that the travel group were able to bring the following items with them when they displaced"
"271",NA,"group_size","9.955556","Proportion of Kis reporting each reason for which the travel group decided to displace to the border"
"272",NA,"group_size","9.955556","Proportion of Kis reporting each length of waiting time for registration within the reception centre"
"273",NA,"group_size","9.955556","What is the main reason Kis reported for travel groups leaving their location of residence?  "
"274",NA,"group_size","9.955556","Displacement routes"
"275",NA,"group_size","9.955556","Proportion of Kis reporting each time period between which the travel group made their decision to leave and departure"
"276",NA,"group_size","9.955556","Proportion of Kis reporting that members of their travel group have friends or family in Dohuk, but do not intent to stay with them"
"277",NA,"group_size","9.955556","Travel group composition"
"278",NA,"group_size","9.955556","Number of people in travel groups without identification papers (e.g. civil ID, passport)?"
"279",NA,"intent_district",NA,"Location of Interview"
"280",NA,"intent_district",NA,"Do you or others in your group have residency documents in the Kurdistan Region of Iraq or other KRI identification papers?"
"281",NA,"intent_district",NA,"Travel across the border"
"282",NA,"intent_district",NA,"If there are unaccompanied or separated children in the travel group, how many?"
"283",NA,"intent_district",NA,"Proportion of Kis reporting each intention for their travel group in the next two days"
"284",NA,"intent_district",NA,"Did the travel group arrive at the Reception Centre (RC) from Syria?"
"285",NA,"intent_district",NA,"Questionnaire"
"286",NA,"intent_district",NA,"Proportion of Kis reporting that travel group members left family members behind"
"287",NA,"intent_district",NA,"Proportion of Kis reporting pregnant or lactating women in the travel group"
"288",NA,"intent_district",NA,"Intentions in the next two days"
"289",NA,"intent_district",NA,"If there are pregnant or lactating women in the travel group, how many?"
"290",NA,"intent_district",NA,"If there are physically disabled people in the travel group, how many?"
"291",NA,"intent_district",NA,"Proportion of Kis reporting that members of the travel group were already living in displacement"
"292",NA,"intent_district",NA,"Key Informant (KI) Demographics"
"293",NA,"intent_district",NA,NA
"294",NA,"intent_district",NA,"Proportion of Kis reporting each length of waiting time at the reception centre before processing"
"295",NA,"intent_district",NA,"Gender of KI"
"296",NA,"intent_district",NA,"Proportion of Kis reporting that the travel group experience the following difficulties during displacement"
"297",NA,"intent_district",NA,"When did travel groups leave the location from which they travelled?"
"298",NA,"intent_district",NA,"Proportion of Kis reporting that members of their travel group will return to Syria in the coming two weeks"
"299",NA,"intent_district",NA,"Proportion of Kis reporting physically disabled people in the travel group"
"300",NA,"intent_district",NA,"Proportion of Kis reporting each intention for their travel group in the next two weeks"
"301",NA,"intent_district",NA,"How many people are in travel groups?"
"302",NA,"intent_district",NA,"Proportion of Kis reporting each length of waiting time at the border (Syrian side)"
"303",NA,"intent_district",NA,"Proportion of Kis reporting each reason as the main reason for each travel groups' intentions in the next two days"
"304",NA,"intent_district",NA,"FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"305",NA,"intent_district",NA,"Location and time of displacement"
"306",NA,"intent_district",NA,"Proportion of Kis reporting unaccompanied or separated children in the travel group"
"307",NA,"intent_district",NA,"Proportion of Kis reporting that travel groups travelled from key governorates in Syria"
"308",NA,"intent_district",NA,"Issues encountered during displacement"
"309",NA,"intent_district",NA,"Proportion of Kis reporting each item as a top priority need for the travel group in the next 24 hours"
"310",NA,"intent_district",NA,"FIND WAY TO ADD NEXT LOCATION HERE (Top governorates with districts?)"
"311",NA,"intent_district",NA,"Proportion of Kis reporting each mode of transport as the primary mode used to reach the border by the travel group"
"312",NA,"intent_district",NA,"Priority needs"
"313",NA,"intent_district",NA,"Intentions in the next two weeks"
"314",NA,"intent_district",NA,"Proportion of Kis reporting that the travel group were able to bring the following items with them when they displaced"
"315",NA,"intent_district",NA,"Proportion of Kis reporting each reason for which the travel group decided to displace to the border"
"316",NA,"intent_district",NA,"Proportion of Kis reporting each length of waiting time for registration within the reception centre"
"317",NA,"intent_district",NA,"What is the main reason Kis reported for travel groups leaving their location of residence?  "
"318",NA,"intent_district",NA,"Displacement routes"
"319",NA,"intent_district",NA,"Proportion of Kis reporting each time period between which the travel group made their decision to leave and departure"
"320",NA,"intent_district",NA,"Proportion of Kis reporting that members of their travel group have friends or family in Dohuk, but do not intent to stay with them"
"321",NA,"intent_district",NA,"Travel group composition"
"322",NA,"intent_district",NA,"Number of people in travel groups without identification papers (e.g. civil ID, passport)?"
"323",NA,"intent_district_week_chamchamal","0.06666667","Location of Interview"
"324",NA,"intent_district_week_chamchamal","0.06666667","Do you or others in your group have residency documents in the Kurdistan Region of Iraq or other KRI identification papers?"
"325",NA,"intent_district_week_chamchamal","0.06666667","Travel across the border"
"326",NA,"intent_district_week_chamchamal","0.06666667","If there are unaccompanied or separated children in the travel group, how many?"
"327",NA,"intent_district_week_chamchamal","0.06666667","Proportion of Kis reporting each intention for their travel group in the next two days"
"328",NA,"intent_district_week_chamchamal","0.06666667","Did the travel group arrive at the Reception Centre (RC) from Syria?"
"329",NA,"intent_district_week_chamchamal","0.06666667","Questionnaire"
"330",NA,"intent_district_week_chamchamal","0.06666667","Proportion of Kis reporting that travel group members left family members behind"
"331",NA,"intent_district_week_chamchamal","0.06666667","Proportion of Kis reporting pregnant or lactating women in the travel group"
"332",NA,"intent_district_week_chamchamal","0.06666667","Intentions in the next two days"
"333",NA,"intent_district_week_chamchamal","0.06666667","If there are pregnant or lactating women in the travel group, how many?"
"334",NA,"intent_district_week_chamchamal","0.06666667","If there are physically disabled people in the travel group, how many?"
"335",NA,"intent_district_week_chamchamal","0.06666667","Proportion of Kis reporting that members of the travel group were already living in displacement"
"336",NA,"intent_district_week_chamchamal","0.06666667","Key Informant (KI) Demographics"
"337",NA,"intent_district_week_chamchamal","0.06666667",NA
"338",NA,"intent_district_week_chamchamal","0.06666667","Proportion of Kis reporting each length of waiting time at the reception centre before processing"
"339",NA,"intent_district_week_chamchamal","0.06666667","Gender of KI"
"340",NA,"intent_district_week_chamchamal","0.06666667","Proportion of Kis reporting that the travel group experience the following difficulties during displacement"
"341",NA,"intent_district_week_chamchamal","0.06666667","When did travel groups leave the location from which they travelled?"
"342",NA,"intent_district_week_chamchamal","0.06666667","Proportion of Kis reporting that members of their travel group will return to Syria in the coming two weeks"
"343",NA,"intent_district_week_chamchamal","0.06666667","Proportion of Kis reporting physically disabled people in the travel group"
